id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
90048-20609719,Listed for sale,2299999,736,Los Angeles,CA,90048,1,SINGLE_FAMILY,Los Angeles County
90064-60115424,Listed for sale,1349000,753,Los Angeles,CA,90064,0,CONDO,Los Angeles County
90048-20778946,Listed for sale,3895000,889,Los Angeles,CA,90048,0,SINGLE_FAMILY,Los Angeles County
90048-82881267,Listed for sale,625000,919,Los Angeles,CA,90048,0,CONDO,Los Angeles County
90210-51582596,Listed for sale,1795000,900,Beverly Hills,CA,90210,1,CONDO,Los Angeles County
90046-2069597590,Listed for sale,715000,655,Los Angeles,CA,90046,0,CONDO,Los Angeles County
90035-95573622,Listed for sale,595000,666,Los Angeles,CA,90035,0,CONDO,Los Angeles County
90069-20796445,Listed for sale,559000,546,West Hollywood,CA,90069,1,CONDO,Los Angeles County
90211-2069600763,Listed for sale,3650000,0,Beverly Hills,CA,90211,0,MULTI_FAMILY,Los Angeles County
90048-20779090,Listed for sale,2495000,0,Los Angeles,CA,90048,1,MULTI_FAMILY,Los Angeles County
90025-72507167,Listed for sale,1020000,777,Los Angeles,CA,90025,0,CONDO,Los Angeles County
90036-89149852,Listed for sale,849000,658,Los Angeles,CA,90036,0,CONDO,Los Angeles County
90069-111918130,Listed for sale,1395000,949,Los Angeles,CA,90069,1,CONDO,Los Angeles County
90035-2069610340,Listed for sale,969500,571,Los Angeles,CA,90035,0,CONDO,Los Angeles County
90024-20506285,Listed for sale,2550000,1144,Los Angeles,CA,90024,1,SINGLE_FAMILY,Los Angeles County
90025-20498260,Listed for sale,1199000,700,Los Angeles,CA,90025,0,CONDO,Los Angeles County
90069-20787063,Listed for sale,2100000,816,West Hollywood,CA,90069,0,MULTI_FAMILY,Los Angeles County
90211-20514605,Listed for sale,5295000,0,Beverly Hills,CA,90211,0,SINGLE_FAMILY,Los Angeles County
90035-20609459,Listed for sale,1595000,781,Los Angeles,CA,90035,1,SINGLE_FAMILY,Los Angeles County
90035-20514177,Listed for sale,765000,936,Los Angeles,CA,90035,1,CONDO,Los Angeles County
90069-20800093,Listed for sale,7500000,1620,Los Angeles,CA,90069,0,SINGLE_FAMILY,Los Angeles County
90212-20508970,Listed for sale,6450000,0,Beverly Hills,CA,90212,0,SINGLE_FAMILY,Los Angeles County
90048-20515653,Listed for sale,999000,705,Los Angeles,CA,90048,0,CONDO,Los Angeles County
90048-20776346,Listed for sale,3195000,896,Los Angeles,CA,90048,0,SINGLE_FAMILY,Los Angeles County
90069-20798976,Listed for sale,1850000,895,Los Angeles,CA,90069,1,SINGLE_FAMILY,Los Angeles County
90210-20534457,Listed for sale,10995000,1913,Beverly Hills,CA,90210,1,SINGLE_FAMILY,Los Angeles County
90210-20523275,Listed for sale,37995000,2313,Beverly Hills,CA,90210,0,SINGLE_FAMILY,Los Angeles County
90212-20508980,Listed for sale,2995000,1277,Beverly Hills,CA,90212,1,SINGLE_FAMILY,Los Angeles County
90035-243990454,Listed for sale,1280000,612,Los Angeles,CA,90035,1,SINGLE_FAMILY,Los Angeles County
90035-20609478,Listed for sale,2089000,0,Los Angeles,CA,90035,1,MULTI_FAMILY,Los Angeles County
90025-20498490,Listed for sale,3395000,950,Los Angeles,CA,90025,0,SINGLE_FAMILY,Los Angeles County
90046-2090647986,Listed for sale,3400000,0,West Hollywood,CA,90046,0,MULTI_FAMILY,Los Angeles County
90210-20521580,Listed for sale,13500000,2177,Beverly Hills,CA,90210,0,SINGLE_FAMILY,Los Angeles County
90064-20497224,Listed for sale,828000,622,Los Angeles,CA,90064,1,CONDO,Los Angeles County
91106-20861403,Listed for sale,729000,542,Pasadena,CA,91106,1,CONDO,Los Angeles County
91106-2069919822,Listed for sale,1160000,722,Pasadena,CA,91106,1,TOWNHOUSE,Los Angeles County
91105-302687440,Listed for sale,930000,894,Pasadena,CA,91105,1,CONDO,Los Angeles County
91723-21556916,Listed for sale,675000,406,Covina,CA,91723,1,SINGLE_FAMILY,Los Angeles County
91723-21554203,Listed for sale,640000,535,Covina,CA,91723,1,SINGLE_FAMILY,Los Angeles County
91723-21557480,Listed for sale,650000,541,Covina,CA,91723,1,SINGLE_FAMILY,Los Angeles County
91723-21547469,Listed for sale,724888,484,Covina,CA,91723,1,SINGLE_FAMILY,Los Angeles County
91405-19960551,Listed for sale,739000,542,Van Nuys,CA,91405,1,SINGLE_FAMILY,Los Angeles County
91405-19960656,Listed for sale,859000,527,Van Nuys,CA,91405,1,SINGLE_FAMILY,Los Angeles County
91405-19957762,Listed for sale,389000,453,Van Nuys,CA,91405,1,CONDO,Los Angeles County
91405-19961758,Listed for sale,539000,387,Los angeles,CA,91405,1,CONDO,Los Angeles County
91405-19958373,Listed for sale,999000,464,Van Nuys,CA,91405,1,SINGLE_FAMILY,Los Angeles County
91405-19969861,Listed for sale,869000,476,Van Nuys,CA,91405,0,SINGLE_FAMILY,Los Angeles County
91405-20006552,Listed for sale,950000,362,Van Nuys,CA,91405,1,MULTI_FAMILY,Los Angeles County
91405-82872052,Listed for sale,595000,475,Van Nuys,CA,91405,1,SINGLE_FAMILY,Los Angeles County
91405-243995860,Listed for sale,718000,510,Van Nuys,CA,91405,1,TOWNHOUSE,Los Angeles County
91405-2075666221,Listed for sale,2327500,340,Van Nuys,CA,91405,1,MULTI_FAMILY,Los Angeles County
91405-19955935,Listed for sale,4575000,0,Van Nuys,CA,91405,1,MULTI_FAMILY,Los Angeles County
91405-19961634,Listed for sale,879900,362,Van Nuys,CA,91405,1,SINGLE_FAMILY,Los Angeles County
90744-21292918,Listed for sale,560000,588,Wilmington,CA,90744,1,SINGLE_FAMILY,Los Angeles County
90744-21297656,Listed for sale,649990,569,Wilmington,CA,90744,1,SINGLE_FAMILY,Los Angeles County
90744-21295225,Listed for sale,545000,524,Wilmington,CA,90744,1,MULTI_FAMILY,Los Angeles County
90744-21298418,Listed for sale,550000,338,Wilmington,CA,90744,0,MULTI_FAMILY,Los Angeles County
90744-21297450,Listed for sale,595000,342,Wilmington,CA,90744,1,SINGLE_FAMILY,Los Angeles County
90744-21291852,Listed for sale,360000,300,Wilmington,CA,90744,0,MULTI_FAMILY,Los Angeles County
90744-2102127530,Listed for sale,1150000,0,Wilmington,CA,90744,1,MULTI_FAMILY,Los Angeles County
90744-21298275,Listed for sale,610000,452,Wilmington,CA,90744,1,MULTI_FAMILY,Los Angeles County
91770-20680308,Listed for sale,950000,701,Rosemead,CA,91770,1,MULTI_FAMILY,Los Angeles County
91755-63091611,Listed for sale,850000,437,Monterey Park,CA,91755,1,SINGLE_FAMILY,Los Angeles County
